Number,Title,Author,State,CreatedAt,ClosedAt,Area,Type,Reactions,URL,Comments,Priority,Milestone
"600","Failed to connect","yasinguzel","CLOSED","2017-01-11T14:48:33Z","2017-01-30T20:13:06Z","","Bug","1","https://github.com/microsoft/vscode-mssql/issues/600","9","-1",
"599","Support SQLCMD mode","sidewinder94","CLOSED","2017-01-11T10:45:42Z","2019-09-23T18:50:46Z","","Feature Request","37","https://github.com/microsoft/vscode-mssql/issues/599","22","-1",
"598","Edit Data v1 API: edit/validate","benrr101","CLOSED","2017-01-10T23:34:20Z","2017-02-17T20:01:01Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/598","2","-1",
"597","Edit Data v1 API: edit/initialize","benrr101","CLOSED","2017-01-10T23:28:15Z","2017-01-31T18:52:05Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/597","3","-1",
"596","Cannot copy from results grid if selection contains null","coquagli","CLOSED","2017-01-10T22:30:50Z","2017-01-13T19:37:17Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/596","5","-1",
"595","Install hangs !","ramana1729","CLOSED","2017-01-10T15:34:22Z","2017-04-24T20:40:35Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/595","2","-1",
"594","Port BatchParserWrapper from DacFx into the tools service to fix batch execution reliability issues","kevcunnane","CLOSED","2017-01-10T05:52:59Z","2017-02-10T21:58:06Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/594","1","-1",
"593","Get token type from QuickInfo for PeekDefinition when Intellisense suggestion fails","sharonravindran","CLOSED","2017-01-10T02:09:52Z","2017-01-19T21:24:59Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/593","0","-1","MSSQL Preview Release 3"
"590","Reenable commented out QueryExecutionTests","kevcunnane","CLOSED","2017-01-09T23:52:10Z","2019-10-30T18:21:03Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/590","2","-1",
"589","Telemetry processing for intellisense usage","kevcunnane","CLOSED","2017-01-09T18:57:46Z","2019-09-16T21:06:48Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/589","0","-1",
"588","Can't copy cell values or save to json/csv?","ransagy","CLOSED","2017-01-09T16:30:46Z","2017-02-23T22:14:45Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/588","11","-1","MSSQL Preview Release 3"
"587","Results Tab Renders HTML instead of plain text.","joeygreen","CLOSED","2017-01-09T15:13:51Z","2017-01-13T21:49:41Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/587","3","-1",
"586","Feature Request: Show database hierarchy in solution explorer","bansalvks","CLOSED","2017-01-07T08:07:10Z","2019-09-23T18:51:01Z","","Feature Request","48","https://github.com/microsoft/vscode-mssql/issues/586","55","-1",
"584","Tests: Update 'SqlOutputProvider Tests' Suite","Raymondd","CLOSED","2017-01-06T19:35:37Z","2017-01-23T18:47:14Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/584","0","-1","MSSQL Preview Release 3"
"583","Support executing a query around the cursor","ransagy","CLOSED","2017-01-06T12:58:24Z","2017-07-17T15:51:52Z","","Feature Request","2","https://github.com/microsoft/vscode-mssql/issues/583","9","-1",
"579","SQL tools service logs should be in one channel","llali","CLOSED","2017-01-05T18:20:38Z","2021-08-27T20:04:12Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/579","1","-1",
"578","Including execution plan int the response if the query has the options enabled","llali","CLOSED","2017-01-05T18:05:50Z","2017-02-06T23:51:28Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/578","1","-1",
"577","QueryUdtShouldNotRetry failing","coquagli","CLOSED","2017-01-05T01:12:41Z","2017-04-14T22:48:31Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/577","2","-1",
"576","Progressive Messages, Extension Support","benrr101","CLOSED","2017-01-04T19:02:16Z","2017-01-12T19:49:06Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/576","0","-1","MSSQL Preview Release 3"
"575","Support return ShowPlan data in SqlToolsService","Raymondd","CLOSED","2017-01-03T19:26:18Z","2017-01-23T18:46:42Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/575","0","-1","MSSQL Preview Release 3"
"574","Support SQL DW in the Object Explorer Service","kevcunnane","CLOSED","2017-01-03T18:26:59Z","2017-04-21T20:17:04Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/574","0","-1",
"573","Support filtering in the Object Explorer Service (by SQL Version etc)","kevcunnane","CLOSED","2017-01-03T18:25:45Z","2017-04-21T20:17:10Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/573","0","-1",
"572","2 pager for ObjectExplorerService","kevcunnane","CLOSED","2017-01-03T18:22:03Z","2017-04-21T20:17:15Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/572","0","-1",
"571","Support basic ObjectExplorerService in SqlToolsService","kevcunnane","CLOSED","2017-01-03T18:21:22Z","2017-04-21T19:25:36Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/571","1","-1","MSSQL Preview Release 3"
"570","Dates should be ISO formatted","kristofferremback","CLOSED","2016-12-29T09:12:02Z","2017-01-04T18:59:47Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/570","4","-1","MSSQL Preview Release 3"
"568","Failed to install SQL Tools Service behind a proxy","freeranger","CLOSED","2016-12-28T11:45:46Z","2017-03-14T16:03:14Z","","Bug","1","https://github.com/microsoft/vscode-mssql/issues/568","25","-1",
"567","OFF keyword formatting ","Raymondd","CLOSED","2016-12-27T19:40:57Z","2017-01-05T19:46:41Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/567","0","-1","MSSQL Preview Release 3"
"566","Save As / Copy To Clipboard results as insert and update statements","schallm","CLOSED","2016-12-23T15:52:46Z","2025-03-07T22:46:09Z","Query Editor","Feature Request","1","https://github.com/microsoft/vscode-mssql/issues/566","3","-1","Backlog"
"564","Race condition in QueryExecuteService result sending","benrr101","CLOSED","2016-12-22T01:54:59Z","2017-01-03T18:35:00Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/564","1","-1",
"563","Unable to connect to a SQL DW database (other than master)","nunocenteno","CLOSED","2016-12-20T19:26:58Z","2017-02-01T18:15:53Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/563","0","-1","MSSQL Preview Release 3"
"562","Investigate Windows x86 support","kburtram","CLOSED","2016-12-20T18:57:45Z","2017-01-20T18:40:04Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/562","1","-1",
"560","How to  goback Version 0.1.5？","frank--zhang","CLOSED","2016-12-20T02:17:59Z","2017-01-30T20:15:20Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/560","8","-1",
"559","Unpublish Sanjay's vscode-mssql extension from VS Code Marketplace","kburtram","CLOSED","2016-12-20T00:06:59Z","2016-12-20T21:43:30Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/559","1","-1","MSSQL Preview Release 3"
"558","Having null cells causes problem in table selection","abist","CLOSED","2016-12-19T22:07:31Z","2016-12-19T23:30:30Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/558","4","-1",
"554","Getting Started Guide command was removed in 0.2.0","kburtram","CLOSED","2016-12-19T19:28:59Z","2016-12-19T23:31:35Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/554","2","-1",
"552","Copying multiple columns breaks all extension features","kburtram","CLOSED","2016-12-19T07:48:35Z","2016-12-19T21:26:19Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/552","1","-1",
"549","Default column for a new results pane ","Raymondd","CLOSED","2016-12-16T19:54:56Z","2017-01-07T00:54:53Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/549","5","-1","MSSQL Preview Release 3"
"548","SELECT from WideWorldImporters.Sales.Customers fails","kburtram","CLOSED","2016-12-16T09:34:48Z","2016-12-19T00:39:44Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/548","3","-1","MSSQL Public Preview Release 2"
"547","ObjectDisposedException regularly thrown in ConnectionService","coquagli","CLOSED","2016-12-16T02:23:22Z","2019-10-30T18:46:29Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/547","1","-1",
"543","Replace checked-in changelog with link to notes on GitHub","kevcunnane","CLOSED","2016-12-15T23:08:47Z","2017-04-24T20:44:34Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/543","1","-1",
"538","Download tool to pull in SqlToolsService is broken against Download Center links","kevcunnane","CLOSED","2016-12-15T21:05:55Z","2016-12-15T23:28:49Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/538","1","-1","MSSQL Public Preview Release 2"
"537","Newlines not stripped from output","coquagli","CLOSED","2016-12-15T20:15:29Z","2016-12-15T22:22:10Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/537","2","-1",
